,open,high,low,close,adjclose,volume,ticker
2020-02-04,662803.5625,665545.0625,649205.6875,652858.25,652858.25,2125704294051,BTC-INR
2020-02-05,653032.6875,690637.5625,651634.6875,684379.6875,684379.6875,2507458513652,BTC-INR
2020-02-06,684692.6875,699051.1875,679139.625,693764.0625,693764.0625,2683048017387,BTC-INR
2020-02-07,693493.1875,702631.375,693493.1875,700566.6875,700566.6875,2468926711893,BTC-INR
2020-02-08,700361.25,706345.625,692196.9375,705513.875,705513.875,2515363881671,BTC-INR
2020-02-09,705426.3125,724416.6875,704460.625,723501.875,723501.875,2560829016702,BTC-INR
2020-02-10,723422.1875,724707.25,698040.5625,702781.3125,702781.3125,2808280571000,BTC-INR
2020-02-11,702730.0,727156.875,692920.3125,727697.125,727697.125,2683752944404,BTC-INR
2020-02-12,727280.1875,740825.3125,727280.1875,736310.6875,736310.6875,3097843960238,BTC-INR
2020-02-13,736161.375,746933.25,721489.6875,728065.625,728065.625,3518026733355,BTC-INR
2020-02-14,727864.0,739034.75,722497.875,737593.6875,737593.6875,3099851686858,BTC-INR
2020-02-15,737718.1875,739699.4375,706287.1875,707359.875,707359.875,3137531390392,BTC-INR
2020-02-16,707342.375,719129.25,695412.1875,710589.75,710589.75,3102509594071,BTC-INR
2020-02-17,710741.875,710903.25,678785.4375,691482.6875,691482.6875,3282410515761,BTC-INR
2020-02-18,691560.3125,727619.875,689702.625,726014.75,726014.75,3383895918809,BTC-INR
2020-02-19,726143.75,730122.0,688591.8125,689985.5625,689985.5625,3365775216511,BTC-INR
2020-02-20,689694.625,690410.4375,684231.1875,690676.4375,690676.4375,3229317556344,BTC-INR
2020-02-21,690914.125,697942.375,689003.875,696334.0625,696334.0625,2942394734316,BTC-INR
2020-02-22,696425.0,697181.5625,690172.375,694662.0,694662.0,2576306033277,BTC-INR
2020-02-23,694671.8125,714347.8125,694274.4375,713421.3125,713421.3125,2960586740983,BTC-INR
2020-02-24,713210.5625,715378.75,687787.6875,695287.375,695287.375,3248013719116,BTC-INR
2020-02-25,695369.375,695472.0,668640.1875,671481.8125,671481.8125,3055996911238,BTC-INR
2020-02-26,671236.3125,672421.4375,623430.1875,632196.0,632196.0,3613771726795,BTC-INR
2020-02-27,632523.625,640131.1875,614757.875,629795.5,629795.5,3259940210164,BTC-INR
2020-02-28,630099.125,637712.875,613249.0625,625934.4375,625934.4375,3219398385705,BTC-INR
2020-02-29,625844.75,633381.25,620669.5625,620669.5625,620669.5625,2583315931864,BTC-INR
2020-03-01,620687.5625,629856.5625,611409.75,617995.125,617995.125,2551325933363,BTC-INR
2020-03-02,618053.625,645929.5,615842.625,642377.0,642377.0,3103924211388,BTC-INR
2020-03-03,642066.875,651223.125,637684.0625,645247.625,645247.625,3112265802482,BTC-INR
2020-03-04,645303.125,650208.5,639858.4375,643466.8125,643466.8125,2553709184527,BTC-INR
2020-03-05,643837.125,674889.3125,643614.375,670517.5,670517.5,2931923641126,BTC-INR
2020-03-06,670483.9375,678042.875,667335.3125,675041.0,675041.0,3021067057513,BTC-INR
2020-03-07,674971.0625,678126.9375,657962.1875,659383.8125,659383.8125,2680244797086,BTC-INR
2020-03-08,659254.4375,659708.6875,599818.8125,600030.75,600030.75,2958158096970,BTC-INR
2020-03-09,600255.0,605200.0625,571518.875,589784.625,589784.625,3493684877489,BTC-INR
2020-03-10,589673.125,600579.75,577471.9375,587119.4375,587119.4375,3133435305103,BTC-INR
2020-03-11,587146.1875,585056.6875,565759.1875,586831.125,586831.125,2869297784475,BTC-INR
2020-03-12,586993.3125,588143.0,361788.21875,370008.5625,370008.5625,4018114259958,BTC-INR
2020-03-13,373510.28125,430809.0625,309974.40625,411486.1875,411486.1875,5484560705892,BTC-INR
2020-03-14,412179.25,416036.125,379045.0,384613.875,384613.875,2673951109815,BTC-INR
2020-03-15,384665.6875,431477.59375,382315.03125,398630.21875,398630.21875,2513315070237,BTC-INR
2020-03-16,398106.4375,398106.4375,339365.6875,372605.9375,372605.9375,3371116571879,BTC-INR
2020-03-17,371721.5625,397345.53125,370185.75,386826.6875,386826.6875,2859037281017,BTC-INR
